strain,cfp,yfp
m22,2606.959831270437,1267.6144306773128
m22,2362.0947629793354,1232.9835216766244
m22,2532.8117614444723,1312.360956384363
m22,2464.4592878334065,1525.454319365731
m22,2574.9709920540477,1413.860652019176
m22,2417.430350562274,1449.156489016271
m22,2482.088683511583,1260.396759703508
m22,2456.1133742239967,1317.8527197468325
m22,2618.1640261987227,1310.9033487656807
m22,2591.726392992651,1410.13768673241
m22,2865.484637403909,1637.8178675840845
m22,2873.9570839533785,1452.1072363785452
m22,2726.068857951433,1383.267170462357
m22,2453.161705981633,1298.0176942573469
m22,2913.325481295638,1494.4240455118252
m22,2786.592224369282,1411.5912939018267
m22,2733.0908745001434,1400.682851815981
m22,2677.9669857775993,1281.5161108976458
m22,2746.5106288145284,1298.0814344449445
m22,3022.5738198946224,1567.5747968269684
m22,2735.592278492642,1384.349368379301
m22,2624.7224152818553,1302.8236239992382
m22,2700.840609461168,1334.8293167301194
m22,2854.8859481265918,1306.8741559510293
m22,2668.0356909239567,1425.4885867864136
m22,2846.738841047926,1456.1006940519715
m22,2927.2595854186998,1319.7544767866686
m22,2680.350238083541,1434.896930918038
m22,2793.12524201678,1465.8126274269114
m22,2386.426528639164,1310.728805862464
m22,2700.428535684104,1511.1319930011555
m22,2963.237922645442,1508.5654775656774
m22,2888.283661639221,1601.9225289099072
m22,2500.527241235247,1415.912632863162
m22,2437.0962319156038,1404.5441390135254
m22,2950.536416900086,1513.6944633663245
m22,2734.3541859641628,1426.5441899920286
m22,2799.4063219217933,1460.135212832307
m22,2572.897106634778,1393.8664545258082
m22,2702.7771237724405,1327.2234702250307
m22,2584.187935300932,1379.0721685532735
m22,2579.4376858067467,1298.8667566405584
m22,2870.8278349126695,1589.8400621367914
m22,2257.433460632421,1341.312299185598
m22,2216.9192695778947,1232.0502266322642
m22,2136.0071192296296,1447.7191128599054
m22,2220.337652133217,1438.9553732383097
m22,2181.3366027843067,1279.9125654499194
m22,2285.7168096433234,1554.9322042565555
m22,2585.661986783032,1529.9267840259085
m22,2378.7509307195305,1666.5564204880438
m22,2387.021487525357,1430.760073473604
m22,2324.954740446052,1330.9362524852554
m22,2213.525134316856,1532.205610587008
m22,2358.708864959829,1322.9879686393606
m22,2171.6280464761207,1346.9398321671272
m22,2114.2394866323034,1252.155107462394
m22,2115.642223689881,1281.3674379562606
m22,2257.7769577908202,1429.6559043747077
m22,2490.853395516061,1123.2209282137887
m22,2618.7569220108358,1404.8105514236224
m22,2677.567991745169,1262.634038147533
m22,2682.498174617745,1397.2329442951818
m22,2558.631157278307,1188.460897930011
m22,2863.7376980204076,1585.4659621573614
m22,2705.361036696381,1297.4787207056895
m22,2700.8284806417505,1415.4260222697073
m22,2728.5840881634085,1391.1281157776414
m22,2827.0538209037354,1443.839840702119
m22,2715.1152184800258,1435.9850844207926
m22,2601.2873194536323,1305.6429744018546
m22,2457.047453220573,1342.782621363011
m22,2468.718331504487,1284.7458906245847
m22,2764.8920836929774,1541.475909143033
m22,2493.5536204018367,1343.5689239885644
m22,2904.6648923561743,1447.7719768971508
m22,2608.640923350837,1323.4014257718138
m22,2578.646404407425,1310.6992970414399
m22,2324.904548347925,1200.7791940915422
m22,2646.354342616997,1355.2975055121333
d22,3080.1971777914882,2308.663544312788
d22,3082.424395666025,2394.410207096787
d22,2893.269809829125,2144.5377624101307
d22,3052.7366149466834,2340.2731462814522
d22,2890.7986222259633,2244.9352151055487
d22,2738.2592670106474,1963.980219530246
d22,2501.533270196924,1806.2795595283087
d22,2812.4545440077404,2089.9323440929834
d22,2923.1649780208445,1793.0026586135452
d22,2962.419271021297,2215.872627428739
d22,3213.909555909647,2169.58987820592
d22,2775.243856158645,2128.468927735578
d22,2534.35470208904,1781.3703900029886
d22,2722.708515283511,2008.5615793538057
d22,2578.812114280203,1650.6736926818094
d22,2794.525367597605,2088.458051767001
d22,2453.803853360725,1882.2987649723725
d22,2652.625462329617,1731.5049071564395
d22,3506.8530776597395,2104.968797110096
d22,2229.9240292456,2090.198005945619
d22,2808.069156508141,1989.5123272204446
d22,2512.1516712899484,1856.2710509400745
d22,2770.8544393528673,1828.4656131436773
d22,2305.514682747837,1570.4281100651529
d22,2614.409301134877,2161.883444465441
d22,2786.7467813089806,2202.9995772718653
d22,2651.6149053352397,1869.6060606963206
d22,2396.949401890144,1853.0629901646773
d22,2560.356470226316,1999.4257860833668
d22,2477.129130346536,1998.093129777377
d22,2330.011462516651,1677.6673216785946
d22,2237.4402657379605,1806.4983529596013
d22,2129.9615531468,1819.8772016434664
d22,2336.237748938185,1933.8784903487783
d22,2371.020925930328,1907.6590550523722
d22,2409.5800385280345,1947.7379754657957
d22,2120.592410600333,1583.853012429556
d22,1908.398312665165,1506.351512111389
d22,1938.997311666792,1526.7659754813635
d22,2389.0496956600023,1821.124840108894
d22,1881.750404486657,1833.3518687194771
