Site,Trap,Date,Date_cal,Round,Genus,Species,Sex,correction_10g,Unadjusted_weight,Mass_g,Elytra_length_mm
HUGH 76,0,20-09-2017,263,4,Nicrophorus,orbicollis,F,0.9755,0.206,0.211,8.94
PANG 35,0,22-08-2017,234,3,Nicrophorus,orbicollis,F,0.9795,0.207,0.211,8.73
MASS 7,0,21-06-2017,172,2,Nicrophorus,orbicollis,F,0.9787,0.207,0.212,9.37
CAPE 56,0,15-06-2017,166,2,Nicrophorus,orbicollis,F,0.9771,0.207,0.212,9.04
MASS 130,6,19-06-2017,170,2,Nicrophorus,orbicollis,F,0.9807,0.208,0.212,9.66
BONW 199,0,16-06-2017,167,2,Nicrophorus,orbicollis,F,0.98,0.208,0.212,8.45
PANG 114,0,11-08-2017,223,3,Nicrophorus,orbicollis,F,0.9827,0.211,0.215,10.61
BONW 90,0,14-08-2017,226,3,Nicrophorus,orbicollis,F,0.9775,0.21,0.215,9.51
BOST 16,0,01-08-2017,213,3,Nicrophorus,orbicollis,F,0.9811,0.211,0.215,8.57
HUGH 73,0,12-06-2017,163,2,Nicrophorus,orbicollis,F,0.9802,0.211,0.215,10.29
PANG 25,0,10-07-2017,191,2,Nicrophorus,orbicollis,F,0.9798,0.211,0.215,8.79
MOOR 142,0,12-06-2017,163,2,Nicrophorus,orbicollis,F,0.9778,0.211,0.216,9.26
CAPE 60,0,08-08-2017,220,3,Nicrophorus,orbicollis,F,0.9765,0.211,0.216,9.15
MASS 111,0,09-08-2017,221,3,Nicrophorus,orbicollis,F,0.9832,0.213,0.217,8.72
BOST 16,0,11-06-2017,162,2,Nicrophorus,orbicollis,F,0.9764,0.212,0.217,8.9
MASS 7,0,21-06-2017,172,2,Nicrophorus,orbicollis,F,0.9787,0.213,0.218,9.73
HUGH 19,6,26-06-2017,177,2,Nicrophorus,orbicollis,F,0.9744,0.215,0.221,9.45
PANG 121,0,10-07-2017,191,2,Nicrophorus,orbicollis,F,0.9798,0.217,0.221,9.13
CAPE 47,0,12-07-2017,193,2,Nicrophorus,orbicollis,F,0.9813,0.218,0.222,8.8
PANG 41,0,10-07-2017,191,2,Nicrophorus,orbicollis,F,0.9846,0.219,0.222,9.26
PANG 41,0,10-07-2017,191,2,Nicrophorus,orbicollis,F,0.9846,0.219,0.222,9.11
MASS 117,6,05-07-2017,186,2,Nicrophorus,orbicollis,F,0.9793,0.218,0.223,8.47
BOST 17,0,01-08-2017,213,3,Nicrophorus,orbicollis,F,0.9757,0.218,0.223,8.96
BONW 101,0,14-08-2017,226,3,Nicrophorus,orbicollis,F,0.9781,0.219,0.224,12.77
CAPE 47,0,12-07-2017,193,2,Nicrophorus,orbicollis,F,0.9823,0.22,0.224,9.63
BONW 199,0,16-06-2017,167,2,Nicrophorus,orbicollis,F,0.98,0.22,0.224,8.97
BONW 90,0,14-08-2017,226,3,Nicrophorus,orbicollis,F,0.9775,0.221,0.226,9.16
PANG 41,0,10-07-2017,191,2,Nicrophorus,orbicollis,F,0.9852,0.223,0.226,9.33
TURID 204,0,30-06-2017,181,2,Nicrophorus,orbicollis,F,0.979,0.223,0.228,9.56
QUBS 110,0,15-09-2017,258,4,Nicrophorus,orbicollis,F,0.9771,0.224,0.229,9.85
PANG 29,0,22-08-2017,234,3,Nicrophorus,orbicollis,F,0.9808,0.225,0.229,9.31
MASS 10,0,09-08-2017,221,3,Nicrophorus,orbicollis,F,0.9801,0.225,0.23,9.19
BOST 17,0,01-08-2017,213,3,Nicrophorus,orbicollis,F,0.9753,0.224,0.23,9.49
