Site,Trap,Date,Date_cal,Round,Genus,Species,Sex,correction_10g,Unadjusted_weight,Mass_g,Elytra_length_mm
CAPE 57,0,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9751,0.244,0.25,7.84
CAPE 63,6,15-08-2017,227,3,Nicrophorus,tomentosus,F,0.9749,0.244,0.25,8.83
BRAC 128,6,24-08-2017,236,3,Nicrophorus,tomentosus,F,0.9782,0.245,0.25,7.9
CAPE 136,6,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9742,0.244,0.25,8.91
HUGH 131,0,25-08-2017,237,3,Nicrophorus,tomentosus,F,0.9819,0.246,0.251,8.37
PANG 23,0,20-08-2017,232,3,Nicrophorus,tomentosus,F,0.9835,0.247,0.251,8.26
CAPE 48,6,15-08-2017,227,3,Nicrophorus,tomentosus,F,0.9754,0.245,0.251,8.62
BONW 107,6,14-08-2017,226,3,Nicrophorus,tomentosus,F,0.9752,0.245,0.251,8.12
CAPE 53,6,08-08-2017,220,3,Nicrophorus,tomentosus,F,0.9826,0.247,0.251,8.05
MASS 15,6,07-08-2017,219,3,Nicrophorus,tomentosus,F,0.9744,0.245,0.251,8.26
HUGH 133,0,30-09-2017,273,4,Nicrophorus,tomentosus,F,0.9773,0.246,0.252,8.02
MASS 124,6,16-08-2017,228,3,Nicrophorus,tomentosus,F,0.9768,0.246,0.252,8.46
BONW 103,0,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9846,0.248,0.252,9.14
PANG 108,6,11-08-2017,223,3,Nicrophorus,tomentosus,F,0.98,0.247,0.252,7.66
PANG 23,0,20-08-2017,232,3,Nicrophorus,tomentosus,F,0.9835,0.248,0.252,8.13
MOOR 43,0,06-10-2017,279,4,Nicrophorus,tomentosus,F,0.9747,0.246,0.252,9.43
MASS 117,6,16-08-2017,228,3,Nicrophorus,tomentosus,F,0.9745,0.246,0.252,8.54
CAPE 47,6,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9822,0.248,0.252,8.26
MASS 139,0,02-08-2017,214,3,Nicrophorus,tomentosus,F,0.9818,0.248,0.253,8.47
PANG 115,0,22-09-2017,265,4,Nicrophorus,tomentosus,F,0.9757,0.247,0.253,8.3
QUBS 110,6,11-08-2017,223,3,Nicrophorus,tomentosus,F,0.9757,0.247,0.253,8.1
QUBS 110,6,11-08-2017,223,3,Nicrophorus,tomentosus,F,0.9757,0.247,0.253,8.04
MASS 117,0,16-08-2017,228,3,Nicrophorus,tomentosus,F,0.9835,0.249,0.253,7.83
BONW 90,6,14-08-2017,226,3,Nicrophorus,tomentosus,F,0.9753,0.247,0.253,8.98
TURID 204,6,14-08-2017,226,3,Nicrophorus,tomentosus,F,0.9747,0.247,0.253,9.15
BONW 112,0,04-08-2017,216,3,Nicrophorus,tomentosus,F,0.9786,0.248,0.253,8.66
HUGH 126,6,10-08-2017,222,3,Nicrophorus,tomentosus,F,0.9784,0.248,0.253,8.68
BONW 92,0,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9823,0.249,0.253,8.22
BONW 92,0,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9823,0.249,0.253,8.19
PANG 115,6,22-09-2017,265,4,Nicrophorus,tomentosus,F,0.9744,0.247,0.253,8.9
HUGH 137,0,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9741,0.247,0.254,9.06
CAPE 51,0,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9809,0.249,0.254,8.25
BONW 103,0,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9846,0.25,0.254,8.39
CAPE 127,6,08-08-2017,220,3,Nicrophorus,tomentosus,F,0.9804,0.249,0.254,8.43
CAPE 127,6,08-08-2017,220,3,Nicrophorus,tomentosus,F,0.9804,0.249,0.254,7.64
HUGH 133,0,10-08-2017,222,3,Nicrophorus,tomentosus,F,0.9837,0.25,0.254,8.47
BONW 107,6,14-08-2017,226,3,Nicrophorus,tomentosus,F,0.9752,0.248,0.254,7.66
QUBS 42,6,11-08-2017,223,3,Nicrophorus,tomentosus,F,0.9745,0.248,0.254,8.21
HUGH 19,6,25-08-2017,237,3,Nicrophorus,tomentosus,F,0.9745,0.248,0.254,7.75
CAPE 47,6,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9822,0.25,0.255,8.35
HUGH 131,0,25-08-2017,237,3,Nicrophorus,tomentosus,F,0.9819,0.25,0.255,8.15
CAPE 127,0,08-08-2017,220,3,Nicrophorus,tomentosus,F,0.9778,0.249,0.255,7.34
HUGH 80,6,15-08-2017,227,3,Nicrophorus,tomentosus,F,0.9772,0.249,0.255,8.74
MASS 4,6,28-09-2017,271,4,Nicrophorus,tomentosus,F,0.9772,0.249,0.255,8.58
MASS 10,6,09-08-2017,221,3,Nicrophorus,tomentosus,F,0.977,0.249,0.255,7.87
PANG 24,6,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.977,0.249,0.255,7.93
BRAC 122,6,24-08-2017,236,3,Nicrophorus,tomentosus,F,0.977,0.249,0.255,7.61
PANG 29,0,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9808,0.25,0.255,8.32
CAPE 49,6,15-08-2017,227,3,Nicrophorus,tomentosus,F,0.9768,0.249,0.255,8.56
BONW 92,6,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9845,0.251,0.255,8.35
HUGH 126,0,30-09-2017,273,4,Nicrophorus,tomentosus,F,0.9755,0.249,0.255,8.45
BONW 107,6,14-08-2017,226,3,Nicrophorus,tomentosus,F,0.9752,0.249,0.255,8.98
MASS 15,0,07-08-2017,219,3,Nicrophorus,tomentosus,F,0.9751,0.249,0.255,8.11
HUGH 19,0,25-08-2017,237,3,Nicrophorus,tomentosus,F,0.9751,0.249,0.255,9.29
CAPE 53,6,08-08-2017,220,3,Nicrophorus,tomentosus,F,0.9826,0.251,0.255,8.25
HUGH 126,6,30-09-2017,273,4,Nicrophorus,tomentosus,F,0.9739,0.249,0.256,8.41
BONW 106,6,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9776,0.25,0.256,8.18
BONW 106,6,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9776,0.25,0.256,7.99
BONW 106,6,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9776,0.25,0.256,7.81
BONW 92,6,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9845,0.252,0.256,8.48
MASS 203,0,23-08-2017,235,3,Nicrophorus,tomentosus,F,0.9801,0.251,0.256,8.46
HUGH 70,6,25-08-2017,237,3,Nicrophorus,tomentosus,F,0.9756,0.25,0.256,8.01
BONW 101,6,14-08-2017,226,3,Nicrophorus,tomentosus,F,0.9753,0.25,0.256,7.61
BONW 94,6,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9753,0.25,0.256,8.23
BONW 112,0,04-08-2017,216,3,Nicrophorus,tomentosus,F,0.9786,0.251,0.256,9.62
CAPE 57,6,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9746,0.25,0.257,8.49
PANG 21,0,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9745,0.25,0.257,8.37
MASS 117,6,16-08-2017,228,3,Nicrophorus,tomentosus,F,0.9745,0.25,0.257,8.21
CAPE 47,6,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9822,0.252,0.257,8.52
CAPE 55,0,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.978,0.251,0.257,7.9
MASS 4,6,07-08-2017,219,3,Nicrophorus,tomentosus,F,0.976,0.251,0.257,7.93
PANG 140,0,21-08-2017,233,3,Nicrophorus,tomentosus,F,0.9754,0.251,0.257,8.33
HUGH 137,0,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9754,0.251,0.257,7.82
HUGH 73,6,06-10-2017,279,4,Nicrophorus,tomentosus,F,0.9753,0.251,0.257,8.18
CAPE 57,0,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9751,0.251,0.257,8.31
CAPE 55,0,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.978,0.252,0.258,8.38
BRAC 81,0,09-08-2017,221,3,Nicrophorus,tomentosus,F,0.9776,0.252,0.258,9.21
PANG 29,0,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9808,0.253,0.258,8.27
MASS 130,0,28-09-2017,271,4,Nicrophorus,tomentosus,F,0.9769,0.252,0.258,8.43
PANG 35,0,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9766,0.252,0.258,8.63
MASS 120,6,16-08-2017,228,3,Nicrophorus,tomentosus,F,0.9802,0.253,0.258,8.69
MASS 117,0,16-08-2017,228,3,Nicrophorus,tomentosus,F,0.9835,0.254,0.258,7.69
MASS 141,6,07-08-2017,219,3,Nicrophorus,tomentosus,F,0.9756,0.252,0.258,7.84
HUGH 123,0,25-08-2017,237,3,Nicrophorus,tomentosus,F,0.9751,0.252,0.258,8.55
MASS 7,6,02-08-2017,214,3,Nicrophorus,tomentosus,F,0.9747,0.252,0.259,8.14
BONW 129,6,04-08-2017,216,3,Nicrophorus,tomentosus,F,0.9746,0.252,0.259,7.71
CAPE 47,6,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9822,0.254,0.259,7.85
PANG 33,0,21-08-2017,233,3,Nicrophorus,tomentosus,F,0.9819,0.254,0.259,8.31
HUGH 131,0,25-08-2017,237,3,Nicrophorus,tomentosus,F,0.9819,0.254,0.259,7.97
PANG 23,6,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9779,0.253,0.259,8.59
HUGH 80,6,15-08-2017,227,3,Nicrophorus,tomentosus,F,0.977,0.253,0.259,8.37
CAPE 51,6,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9766,0.253,0.259,8.25
HUGH 123,0,25-08-2017,237,3,Nicrophorus,tomentosus,F,0.9842,0.255,0.259,8.27
MASS 202,6,23-08-2017,235,3,Nicrophorus,tomentosus,F,0.9761,0.253,0.259,8.34
HUGH 133,6,30-09-2017,273,4,Nicrophorus,tomentosus,F,0.976,0.253,0.259,8.32
PANG 115,0,22-09-2017,265,4,Nicrophorus,tomentosus,F,0.9757,0.253,0.259,8.37
HUGH 137,0,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9754,0.253,0.259,9.45
HUGH 137,0,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9754,0.253,0.259,8.68
CAPE 57,0,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9751,0.253,0.259,7.84
BONW 107,6,14-08-2017,226,3,Nicrophorus,tomentosus,F,0.9751,0.253,0.259,8.3
BONW 92,0,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9823,0.255,0.26,7.92
BONW 106,6,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9776,0.254,0.26,8.35
HUGH 137,6,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9808,0.255,0.26,8.88
PANG 29,6,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9769,0.254,0.26,7.95
CAPE 51,6,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9766,0.254,0.26,8.21
HUGH 133,6,10-08-2017,222,3,Nicrophorus,tomentosus,F,0.9761,0.254,0.26,7.58
PANG 23,0,20-08-2017,232,3,Nicrophorus,tomentosus,F,0.9835,0.256,0.26,8.22
PANG 140,6,21-08-2017,233,3,Nicrophorus,tomentosus,F,0.9757,0.254,0.26,8.35
HUGH 126,0,30-09-2017,273,4,Nicrophorus,tomentosus,F,0.9755,0.254,0.26,7.99
BONW 107,6,14-08-2017,226,3,Nicrophorus,tomentosus,F,0.9752,0.254,0.26,8.1
HUGH 123,0,25-08-2017,237,3,Nicrophorus,tomentosus,F,0.9751,0.254,0.26,8.05
MASS 130,0,09-08-2017,221,3,Nicrophorus,tomentosus,F,0.9747,0.254,0.261,7.96
BONW 92,0,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9823,0.256,0.261,8.18
PANG 41,0,12-08-2017,224,3,Nicrophorus,tomentosus,F,0.9818,0.256,0.261,7.94
PANG 23,6,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9779,0.255,0.261,8.24
BONW 101,0,14-08-2017,226,3,Nicrophorus,tomentosus,F,0.9778,0.255,0.261,8.27
PANG 29,0,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9808,0.256,0.261,8.3
MASS 130,0,28-09-2017,271,4,Nicrophorus,tomentosus,F,0.9769,0.255,0.261,8.4
BONW 92,6,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9845,0.257,0.261,8.17
CAPE 51,6,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9766,0.255,0.261,8.15
PANG 25,6,21-08-2017,233,3,Nicrophorus,tomentosus,F,0.9765,0.255,0.261,7.99
MASS 10,6,06-09-2017,249,4,Nicrophorus,tomentosus,F,0.9757,0.255,0.261,8.23
MASS 141,6,07-08-2017,219,3,Nicrophorus,tomentosus,F,0.9756,0.255,0.261,8.19
HUGH 126,0,30-09-2017,273,4,Nicrophorus,tomentosus,F,0.9755,0.255,0.261,8.18
CAPE 57,0,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9751,0.255,0.262,8.26
MASS 15,6,07-08-2017,219,3,Nicrophorus,tomentosus,F,0.9744,0.255,0.262,7.93
BONW 90,0,14-08-2017,226,3,Nicrophorus,tomentosus,F,0.9775,0.256,0.262,9.07
CAPE 49,0,15-08-2017,227,3,Nicrophorus,tomentosus,F,0.9812,0.257,0.262,8.22
BONW 103,0,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9849,0.258,0.262,8.73
BONW 103,0,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9849,0.258,0.262,8.6
HUGH 80,6,15-08-2017,227,3,Nicrophorus,tomentosus,F,0.9772,0.256,0.262,8.53
HUGH 123,0,25-08-2017,237,3,Nicrophorus,tomentosus,F,0.9842,0.258,0.262,8.62
MASS 130,6,09-08-2017,221,3,Nicrophorus,tomentosus,F,0.9803,0.257,0.262,8.59
HUGH 137,0,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9741,0.256,0.263,8.27
HUGH 137,6,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9808,0.258,0.263,8.43
BRAC 132,0,24-08-2017,236,3,Nicrophorus,tomentosus,F,0.9769,0.257,0.263,8.16
MASS 130,6,09-08-2017,221,3,Nicrophorus,tomentosus,F,0.9803,0.258,0.263,8.7
BONW 103,6,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9765,0.257,0.263,8.29
MASS 4,6,07-08-2017,219,3,Nicrophorus,tomentosus,F,0.9763,0.257,0.263,7.7
PANG 23,0,20-08-2017,232,3,Nicrophorus,tomentosus,F,0.9835,0.259,0.263,8.47
PANG 41,6,21-08-2017,233,3,Nicrophorus,tomentosus,F,0.9794,0.258,0.263,8.82
PANG 33,0,21-08-2017,233,3,Nicrophorus,tomentosus,F,0.9831,0.259,0.263,8.72
HUGH 137,0,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9754,0.257,0.263,8.54
BONW 90,6,14-08-2017,226,3,Nicrophorus,tomentosus,F,0.9753,0.257,0.264,8.43
PANG 41,0,12-08-2017,224,3,Nicrophorus,tomentosus,F,0.9818,0.259,0.264,8.2
BONW 101,0,14-08-2017,226,3,Nicrophorus,tomentosus,F,0.9778,0.258,0.264,8.66
CAPE 47,0,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9776,0.258,0.264,8.85
CAPE 47,0,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9776,0.258,0.264,8.21
HUGH 137,6,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9808,0.259,0.264,8.73
HUGH 137,6,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9807,0.259,0.264,8.7
PANG 25,6,21-08-2017,233,3,Nicrophorus,tomentosus,F,0.9765,0.258,0.264,8.02
MASS 111,0,09-08-2017,221,3,Nicrophorus,tomentosus,F,0.9839,0.26,0.264,8.17
PANG 23,0,20-08-2017,232,3,Nicrophorus,tomentosus,F,0.9835,0.26,0.264,8.2
BONW 101,6,14-08-2017,226,3,Nicrophorus,tomentosus,F,0.9753,0.258,0.265,8.07
BONW 107,6,14-08-2017,226,3,Nicrophorus,tomentosus,F,0.9751,0.258,0.265,8.76
BONW 129,6,04-08-2017,216,3,Nicrophorus,tomentosus,F,0.9746,0.258,0.265,8.85
HUGH 19,6,25-08-2017,237,3,Nicrophorus,tomentosus,F,0.9745,0.258,0.265,8.09
BONW 107,0,14-08-2017,226,3,Nicrophorus,tomentosus,F,0.9819,0.26,0.265,8.55
HUGH 131,0,25-08-2017,237,3,Nicrophorus,tomentosus,F,0.9819,0.26,0.265,8.69
BONW 92,6,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9845,0.261,0.265,8.15
BRAC 132,0,24-08-2017,236,3,Nicrophorus,tomentosus,F,0.9769,0.259,0.265,7.72
BRAC 84,6,09-08-2017,221,3,Nicrophorus,tomentosus,F,0.976,0.259,0.265,7.93
HUGH 123,0,25-08-2017,237,3,Nicrophorus,tomentosus,F,0.9751,0.259,0.266,8.74
BONW 107,6,14-08-2017,226,3,Nicrophorus,tomentosus,F,0.9751,0.259,0.266,8.27
MASS 7,6,02-08-2017,214,3,Nicrophorus,tomentosus,F,0.9747,0.259,0.266,8.56
MASS 4,0,28-09-2017,271,4,Nicrophorus,tomentosus,F,0.9777,0.26,0.266,8.09
CAPE 56,0,08-08-2017,220,3,Nicrophorus,tomentosus,F,0.9738,0.259,0.266,8.33
HUGH 126,0,30-09-2017,273,4,Nicrophorus,tomentosus,F,0.9755,0.26,0.267,7.81
HUGH 137,0,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9754,0.26,0.267,8.78
BONW 101,6,14-08-2017,226,3,Nicrophorus,tomentosus,F,0.9753,0.26,0.267,8.44
BOST 16,6,01-08-2017,213,3,Nicrophorus,tomentosus,F,0.975,0.26,0.267,8.39
QUBS 42,6,15-09-2017,258,4,Nicrophorus,tomentosus,F,0.9749,0.26,0.267,7.61
CAPE 57,6,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9746,0.26,0.267,8.25
CAPE 47,0,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9776,0.261,0.267,9.05
BONW 90,0,14-08-2017,226,3,Nicrophorus,tomentosus,F,0.9775,0.261,0.267,8.76
HUGH 137,6,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9807,0.262,0.267,8.93
HUGH 123,0,25-08-2017,237,3,Nicrophorus,tomentosus,F,0.9842,0.263,0.267,8.36
CAPE 51,6,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9766,0.261,0.267,8.69
BRAC 105,0,24-08-2017,236,3,Nicrophorus,tomentosus,F,0.9765,0.261,0.267,8.69
MASS 4,6,07-08-2017,219,3,Nicrophorus,tomentosus,F,0.9763,0.261,0.267,7.71
MASS 117,0,16-08-2017,228,3,Nicrophorus,tomentosus,F,0.9835,0.263,0.267,8.33
HUGH 73,0,31-07-2017,212,3,Nicrophorus,tomentosus,F,0.9756,0.261,0.268,8.69
PANG 32,6,22-09-2017,265,4,Nicrophorus,tomentosus,F,0.9755,0.261,0.268,8.46
BONW 92,0,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9823,0.263,0.268,8.67
MASS 130,0,09-08-2017,221,3,Nicrophorus,tomentosus,F,0.9747,0.261,0.268,8.33
TURID 204,6,14-08-2017,226,3,Nicrophorus,tomentosus,F,0.9747,0.261,0.268,8.47
CAPE 57,6,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9746,0.261,0.268,8.15
HUGH 137,0,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9741,0.261,0.268,9.09
BONW 106,6,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9776,0.262,0.268,8.6
MASS 139,6,02-08-2017,214,3,Nicrophorus,tomentosus,F,0.9772,0.262,0.268,9.22
PANG 29,0,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9808,0.263,0.268,8.09
HUGH 137,6,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9808,0.263,0.268,8.48
QUBS 110,6,15-09-2017,258,4,Nicrophorus,tomentosus,F,0.9764,0.262,0.268,8.66
HUGH 126,0,30-09-2017,273,4,Nicrophorus,tomentosus,F,0.9755,0.262,0.269,8.67
HUGH 137,0,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9754,0.262,0.269,8.6
HUGH 137,0,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9754,0.262,0.269,8.36
MASS 12,0,16-08-2017,228,3,Nicrophorus,tomentosus,F,0.9752,0.262,0.269,8.51
CAPE 57,6,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9749,0.262,0.269,7.97
CAPE 47,6,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9822,0.264,0.269,8.39
MOOR 43,0,06-10-2017,279,4,Nicrophorus,tomentosus,F,0.9747,0.262,0.269,9.26
MASS 7,6,02-08-2017,214,3,Nicrophorus,tomentosus,F,0.9747,0.262,0.269,7.93
TURID 204,6,14-08-2017,226,3,Nicrophorus,tomentosus,F,0.9747,0.262,0.269,8.26
HUGH 126,6,10-08-2017,222,3,Nicrophorus,tomentosus,F,0.9784,0.263,0.269,7.85
MASS 15,6,07-08-2017,219,3,Nicrophorus,tomentosus,F,0.9744,0.262,0.269,8.47
CAPE 136,6,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9742,0.262,0.269,8.4
CAPE 55,6,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9779,0.263,0.269,8.24
HUGH 137,0,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9741,0.262,0.269,8.57
HUGH 137,0,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9741,0.262,0.269,8.21
MOOR 46,6,06-10-2017,279,4,Nicrophorus,tomentosus,F,0.9736,0.262,0.269,8.36
HUGH 133,0,30-09-2017,273,4,Nicrophorus,tomentosus,F,0.9773,0.263,0.269,8.34
BONW 103,0,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9846,0.265,0.269,8.19
CAPE 63,0,15-08-2017,227,3,Nicrophorus,tomentosus,F,0.9845,0.265,0.269,7.76
HUGH 123,6,25-08-2017,237,3,Nicrophorus,tomentosus,F,0.9769,0.263,0.269,8.17
CAPE 127,6,08-08-2017,220,3,Nicrophorus,tomentosus,F,0.9804,0.264,0.269,8.53
HUGH 70,6,25-08-2017,237,3,Nicrophorus,tomentosus,F,0.9756,0.263,0.27,8.95
BRAC 128,0,24-08-2017,236,3,Nicrophorus,tomentosus,F,0.9754,0.263,0.27,8.51
HUGH 19,0,25-08-2017,237,3,Nicrophorus,tomentosus,F,0.9751,0.263,0.27,8.95
CAPE 47,6,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9822,0.265,0.27,7.7
PANG 115,6,22-09-2017,265,4,Nicrophorus,tomentosus,F,0.9744,0.263,0.27,8.64
MASS 139,0,02-08-2017,214,3,Nicrophorus,tomentosus,F,0.9818,0.265,0.27,8.07
BONW 106,6,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9776,0.264,0.27,8.39
BONW 106,6,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9776,0.264,0.27,8.28
CAPE 56,0,08-08-2017,220,3,Nicrophorus,tomentosus,F,0.9738,0.263,0.27,9.03
BRAC 132,0,24-08-2017,236,3,Nicrophorus,tomentosus,F,0.9769,0.264,0.27,8.55
MOOR 46,0,31-07-2017,212,3,Nicrophorus,tomentosus,F,0.9805,0.265,0.27,9.03
HUGH 131,6,25-08-2017,237,3,Nicrophorus,tomentosus,F,0.9768,0.264,0.27,8.58
MASS 117,0,16-08-2017,228,3,Nicrophorus,tomentosus,F,0.9835,0.266,0.27,8.24
BONW 90,6,14-08-2017,226,3,Nicrophorus,tomentosus,F,0.9753,0.264,0.271,8.06
BONW 94,6,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9753,0.264,0.271,8.46
BONW 92,0,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9823,0.266,0.271,7.83
BONW 129,6,04-08-2017,216,3,Nicrophorus,tomentosus,F,0.9746,0.264,0.271,8.6
HUGH 131,0,25-08-2017,237,3,Nicrophorus,tomentosus,F,0.9819,0.266,0.271,8.27
PANG 23,6,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9779,0.265,0.271,7.87
HUGH 116,6,10-08-2017,222,3,Nicrophorus,tomentosus,F,0.9778,0.265,0.271,7.86
MASS 4,0,28-09-2017,271,4,Nicrophorus,tomentosus,F,0.9777,0.265,0.271,8.85
CAPE 47,0,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9776,0.265,0.271,8.42
PANG 135,6,22-09-2017,265,4,Nicrophorus,tomentosus,F,0.9739,0.264,0.271,8.8
BONW 103,0,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9849,0.267,0.271,8.42
BONW 103,0,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9846,0.267,0.271,8.48
BONW 103,0,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9846,0.267,0.271,8.25
CAPE 63,0,15-08-2017,227,3,Nicrophorus,tomentosus,F,0.9845,0.267,0.271,7.96
PANG 29,6,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9769,0.265,0.271,8.47
BRAC 105,6,24-08-2017,236,3,Nicrophorus,tomentosus,F,0.9764,0.265,0.271,8.13
HUGH 79,0,10-08-2017,222,3,Nicrophorus,tomentosus,F,0.9763,0.265,0.271,8.24
MASS 7,6,02-08-2017,214,3,Nicrophorus,tomentosus,F,0.9747,0.265,0.272,7.82
MASS 7,6,02-08-2017,214,3,Nicrophorus,tomentosus,F,0.9747,0.265,0.272,7.8
BONW 129,0,04-08-2017,216,3,Nicrophorus,tomentosus,F,0.9819,0.267,0.272,8.57
PANG 23,6,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9779,0.266,0.272,8.7
PANG 23,6,22-08-2017,234,3,Nicrophorus,tomentosus,F,0.9779,0.266,0.272,8.28
BONW 103,0,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9849,0.268,0.272,8.7
HUGH 133,0,30-09-2017,273,4,Nicrophorus,tomentosus,F,0.9773,0.266,0.272,8.24
BONW 103,0,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9846,0.268,0.272,9.18
BONW 103,0,18-08-2017,230,3,Nicrophorus,tomentosus,F,0.9846,0.268,0.272,8.38
PANG 33,6,21-08-2017,233,3,Nicrophorus,tomentosus,F,0.9772,0.266,0.272,7.93
MASS 120,0,16-08-2017,228,3,Nicrophorus,tomentosus,F,0.9753,0.266,0.273,8.27
BONW 107,6,14-08-2017,226,3,Nicrophorus,tomentosus,F,0.9752,0.266,0.273,8.92
TURID 204,6,14-08-2017,226,3,Nicrophorus,tomentosus,F,0.9747,0.266,0.273,8.36
MASS 117,6,16-08-2017,228,3,Nicrophorus,tomentosus,F,0.9745,0.266,0.273,8.47
PANG 41,0,12-08-2017,224,3,Nicrophorus,tomentosus,F,0.9818,0.268,0.273,8.39
MASS 3,6,07-08-2017,219,3,Nicrophorus,tomentosus,F,0.9815,0.268,0.273,8.96
CAPE 64,6,17-08-2017,229,3,Nicrophorus,tomentosus,F,0.9805,0.268,0.273,7.76
MASS 203,0,23-08-2017,235,3,Nicrophorus,tomentosus,F,0.9801,0.268,0.273,8.16
HUGH 133,0,10-08-2017,222,3,Nicrophorus,tomentosus,F,0.9837,0.269,0.273,8.8
HUGH 79,0,10-08-2017,222,3,Nicrophorus,tomentosus,F,0.9763,0.267,0.273,8.16
HUGH 70,6,25-08-2017,237,3,Nicrophorus,tomentosus,F,0.9756,0.267,0.274,8.1
